TABLE 22;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
 ;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;2001;;2002;;2003;;2004;2005e;
Afghanistane;;50; ;60; ;70;;70;60;
Albania;;--; ;--; ;578; ;573;575;
Algeriae;;8,300;;9,000; ;9,000;;9,000;9,000;
Angola;;550;r;597;r;700;r;754;760;
Argentina;;5,545; ;3,911;r;5,217;r;6,254;7,595;
Armenia  ;;300; ;355; ;384; ;501;605;
Australiae;;7,500; ;7,550; ;8,000;;8,000;9,000;
Austria;;3,802;r;3,918;r;3,886;r;3,976;4,736;
Azerbaijan ;;523;r;848;;1,013;;1,428;1,538;
Bahrain;;89; ;67; ;129;r;153;191;
Bangladeshe;;5,005;3, 4;5,000;;5,000; ;5,000;5,100;
Barbados;;250; ;298; ;325;r;322;320;
Belarus ;;1,803; ;2,171; ;2,472; ;2,731;3,131;
Belgium ;;7,157;r;6,980;r;6,550;r;6,715;7,000;
Benine;;250;;250; ;250;;250;250;
Bhutane;;160;;160;;160;;170;170;
Bolivia;;983; ;1,010; ;1,138;;1,276;1,440;
Bosnia and Herzegovina;;704; ;913; ;891;;1,045;1,000;
Brazil;;38,927; ;38,027; ;34,010;;34,413;36,673;
Brunei;;227; ;241; ;236;r;242;240;
Bulgariae;;2,088;3;2,137;3;2,100;;2,100;2,100;
Burkina Fasoe;;50; ;30; ;30; ;30;30;
Burma5;;378; ;471;r;572;;519;543;
Cameroon;;980;r;937;r;949;r;1,032;1,000;
Canada;;12,793;r;13,079;r;13,416;r;13,863;14,179;
Chile;;3,513; ;3,462; ;3,622;;3,798;3,999;
China;;661,040; ;725,000; ;862,080;;970,000;1,038,300;
Colombia;;6,830; ;6,064;r;7,337;r;7,822;9,959;
Congo (Kinshasa) ;;201;;265; ;331; ;403;410;
Costa Ricae;;1,200; ;1,200; ;1,600;r;1,900;2,000;
Côte d'Ivoiree;;650; ;650; ;650; ;650;650;
Croatia ;;3,246; ;3,378; ;3,654;;3,811;3,520;
Cuba;;1,324; ;1,327; ;1,346;r;1,366;1,370;
Cyprus  ;;1,369; ;1,438; ;1,637;;1,689;1,805;
Czech Republic;;3,550; ;3,217; ;3,465;;3,829;3,978;
Denmark  ;;2,047; ;2,028;r;1,953;r;2,150;2,200;
Dominican Republic;;2,746; ;3,050; ;2,783;r;2,636;2,640;
Ecuadore;;2,920;3;3,000; ;3,100; ;3,100;3,100;
Egypt  ;;25,700;;28,155;;26,639;;28,763;29,000;
El Salvador;;1,174; ;1,318; ;1,390;;1,256;1,400;
Eritreae;;45; ;45; ;45; ;45;45;
Estonia;;405; ;466; ;506; ;615;650;
Ethiopia6  ;;900; ;900; ;1,130;r;1,316;1,568;
Fijie;;95; ;95; ;100; ;100;100;
Finland;;1,325; ;1,198;;1,493;r;1,691;1,321;
France;;19,839; ;19,437;r;19,655;r;20,962;21,277;
French Guianae;;58;3;62;3;60;r;60;60;
Gabone;;240;r, 3;257;r, 3;260;r;260;260;
Georgia ;;335; ;347; ;345;r;425;450;
Germany;;32,118; ;31,009; ;32,749;r;31,854;30,629;
Ghanae  ;;1,900; ;1,900; ;1,900;;1,900;1,900;
Greece;;14,819;r;14,282;r;14,638;r;15,039;15,000;
Guadeloupe;;265; ;230; ;230; ;230;230;
Guatemalae;;2,000; ;1,800; ;1,800;r ;1,800;1,800;
See footnotes at end of table.;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
 ;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;2001;;2002;;2003;;2004;2005e;
Guineae  ;;315;3;360; ;360; ;360;360;
Haitie;;204;3;290;3;300; ;300;300;
Hondurase;;1,321;3;1,360; ;1,400; ;1,800;2,000;
Hong Kong;;1,279; ;1,206; ;1,189;r;1,039;1,005;
Hungary;;3,452; ;3,510; ;3,573; ;3,349;3,500;
Iceland;;125; ;83;r;90;r;90;95;
Indiae;;105,000; ;115,000; ;123,000;3;130,000;145,000;
Indonesia  ;;31,300; ;34,640; ;35,500;r;36,000;37,000;
Iran  ;;26,640; ;28,600; ;30,460;r;32,198;32,650;
Iraqe;;6,000; ;6,834;3;1,901;r, 3;2,500;3,000;
Ireland;;3,450;r;3,320;r;3,830;r;4,000;4,000;
Israel;;4,700;e;4,584; ;4,632; ;4,494;4,700;
Italy;;39,804; ;41,416;r;43,433;r;46,045;46,404;
Jamaica;;596;;614;;608; ;808;845;
Japan;;76,550;;71,828; ;68,766; ;67,376;69,629;
Jordan;;3,173;;3,558; ;3,515; ;3,908;4,046;
Kazakhstan ;;2,029;;2,129;;2,570; ;3,662;3,975;
Kenya;;1,319; ;1,463; ;1,658; ;1,789;2,123;
Korea, Northe;;5,160;;5,320; ;5,540; ;5,630;5,700;
Korea, Republic of;;52,046;;55,514; ;59,194; ;54,330;51,391;
Kuwait;;921; ;1,584; ;1,863;r;2,635;2,700;
Kyrgyzstan;;469;;533; ;757; ;800;900;
Laose;;92; ;240; ;250;;250;350;
Latvia ;;W; ;260; ;295; ;284;280;
Lebanon ;;2,890; ;2,852; ;3,000;r, e;3,100;3,300;
Liberia;;63; ;54; ;25;r;40;40;
Libyae;;3,000;;3,300; ;3,500;3;3,600;3,600;
Lithuania;;529; ;606; ;597; ;753;832;
Luxembourg;;729;r;728;r;714;r;797;750;
Macedonia ;;630; ;600;e;768; ;820;800;
Madagascare  ;;52;3;35;r;80;r;130;180;
Malawi;;181;;174; ;24;r;120;120;
Malaysia;;13,820;;14,336; ;17,243; ;15,690;17,860;
Martiniquee;;255;3;221;3;220;r;220;220;
Mauritaniae;;200; ;200; ;200; ;300;300;
Mexico;;32,110; ;33,372; ;33,593; ;34,992;36,000;
Moldova ;;200; ;300; ;255;r;440;500;
Mongolia;;68; ;148; ;162; ;62;112;
Moroccoe  ;;10,000; ;10,200; ;10,400;;11,000;11,000;
Mozambique  ;;265; ;285; ;362; ;370;400;
Nepale, 4;;285; ;290;;295; ;285;290;
Netherlands ;;3,380;r;3,085;r;2,450;r;2,380;2,400;
New Caledonia ;;93; ;100; ;100;e;100;100;
New Zealande;;1,080;3;1,090; ;1,100;;1,110;1,100;
Nicaragua;;514; ;549; ;590; ;600;610;
Nigere;;47;r;54;r;55;r;55;55;
Nigeriae;;2,400; ;2,100; ;2,300; ;2,300;2,400;
Norway;;1,642;r;1,631;r;1,650;r;1,420;1,500;
Omane;;1,370;3;1,700; ;2,100; ;2,500;2,500;
Pakistane ;;11,000; ;11,000; ;13,000; ;16,000;18,000;
Panamae;;820; ;770; ;800;r;820;840;
Paraguaye;;650;3;650; ;660; ;650;650;
Peru ;;3,950; ;3,980; ;4,000; ;4,590;4,600;
Philippines ;;8,653; ;12,614; ;13,060;r;13,050;13,000;
